graph_id,num_nodes,num_edges,noise_type,sigma,attack_auroc,attack_f1,attack_edge_recall,model_acc
26,98,156,gaussian,0.3,0.48302925706771865,0.02564102564086128,0.02564102564086128,0.8469387292861938
26,98,156,laplace,0.0,0.9865631163708085,0.7179487179441157,0.7179487179441157,0.8673469424247742
26,98,156,laplace,0.05,0.5403928336620645,0.05128205128172256,0.05128205128172256,0.8673469424247742
26,98,156,laplace,0.1,0.5469674556213018,0.05769230769193787,0.05769230769193787,0.8469387292861938
26,98,156,laplace,0.2,0.4842209072978304,0.02564102564086128,0.02564102564086128,0.8469387292861938
26,98,156,laplace,0.3,0.476577909270217,0.01282051282043064,0.01282051282043064,0.8673469424247742
27,39,81,gaussian,0.0,0.8841639993903369,0.5308641975243102,0.5308641975243102,0.9230769276618958
27,39,81,gaussian,0.05,0.5316262764822436,0.13580246913412589,0.13580246913412589,0.9230769276618958
27,39,81,gaussian,0.1,0.517908855357415,0.08641975308535284,0.08641975308535284,0.9230769276618958
27,39,81,gaussian,0.2,0.4968754762993446,0.19753086419509222,0.1975308641950922,0.9230769276618958
27,39,81,gaussian,0.3,0.5444292028654169,0.13580246913412589,0.13580246913412589,0.9230769276618958
